N,Ст.№,Състезател,Име,Фамилия,username,Отбор,Мотор,Общо,Кърнаре 29-30/3 Нв,Стзагора 12-13/4 Нв,Бухово 3-4/5 Нв,ГМалина 17-18/5 Нв,Дамасцена 14-15/6 Нв,SDCi 10-11/08 Нв,Кирково 08-09/11 Нв
11,123,Димитър ЧУКУРОВ,Димитър,ЧУКУРОВ,dimitar.chukurov.123,ЕК ЛУДА РАБОТА,Husqvarna TX300,61,,,13,10,12,,13
12,169,Илиян КРЪСТЕВ,Илиян,КРЪСТЕВ,iliyan.krastev.169,НК ЕНДУРО ВИКТОРИ,Гас гас 350,54,,8,,14,20,,
13,305,Данаил КОСТАДИНОВ,Данаил,КОСТАДИНОВ,danail.kostadinov.305,МСК ХАРД ЕНДУРО ПЛЕВЕН,KTM300,52,8,10,11,12,5,,0
14,916,Росен ЖЕЛЯЗКОВ,Росен,ЖЕЛЯЗКОВ,rosen.zhelyazkov.916,СК БУЛДОК РОКЕТС,KTM 300,50,7,9,0,9,4,11,10
15,51,Марио ЗАРОВ,Марио,ЗАРОВ,mario.zarov.51,МСК ХАРД РАЙДЪРС,GAS GAS ec 300,48,,,,11,13,12,12
16,74,Асан ИМАМОВ,Асан,ИМАМОВ,asan.imamov.74,ЕНДУРО КЛУБ КОРНИЦА,Gas Gas 300,41,14,12,,,,,
17,31,Христо МИХОВ,Христо,МИХОВ,hristo.mihov.31,МСК ХАРД РАЙДЪРС,KTM 300,20,,,,,,9,11
18,190,Кирил НАЧЕВ,Кирил,НАЧЕВ,kiril.nachev.190,МСК ХАРД ЕНДУРО ПЛЕВЕН,KTM exc300,18,10,,1,,,,
19,765,Максим ИВАНОВ,Максим,ИВАНОВ,maksim.ivanov.765,СК КЪРТАЧИТЕ,KTM 350,18,,,0,0,,,
20,176,Пламен ЯНКОВ,Пламен,ЯНКОВ,plamen.yankov.176,МСК ЕКС ЕНДУРО КЪРНАРЕ,Beta rr300,17,12,,,,,,
21,69,Михаил МИТОВ,Михаил,МИТОВ,mihail.mitov.69,МСК ХАРД РАЙДЪРС,KTM 300 EXC,17,15,,,0,,2,
22,389,Костадин ХРИСТОВ,Костадин,ХРИСТОВ,kostadin.hristov.389,МСК - SBMOTO РЕЙСИНГ ТИЙМ,KTM,16,,,0,8,7,,0
23,128,Божидар КРЪСТЕВ,Божидар,КРЪСТЕВ,bozhidar.krastev.128,ЕНДУРО КЛУБ СЕВТОПОЛИС,KTM EXC 300,15,,,,,,,9
24,911,Тодор КОЧЕШЕВ,Тодор,КОЧЕШЕВ,todor.kocheshev.911,ЕНДУРО КЛУБ СЕВТОПОЛИС,Ktm300,10,,,,0,0,4,
25,67,Александър ВЕСКОВ,Александър,ВЕСКОВ,aleksandar.veskov.67,МОТО ДРУЖИНА БАНСКО,GAS GAS 300,10,,,,0,0,10,0
26,81,Милко МИЛЕВ,Милко,МИЛЕВ,milko.milev.81,ЕК ЛУДА РАБОТА,Beta rr300,8,4,,0,,0,,
27,89,Добрин ДОБРЕВ,Добрин,ДОБРЕВ,dobrin.dobrev.89,АЛБА ДАМАСЦЕНА МСК,Husqvarna T300,6,,,,,,6,
28,777,Антон АНТОНОВ,Антон,АНТОНОВ,anton.antonov.777,МСК - SBMOTO РЕЙСИНГ ТИЙМ,Husqvarna TE300 Pr,5,,5,,,,,0
29,241,Веселин МИТЕВ,Веселин,МИТЕВ,veselin.mitev.241,ДЖИ АР СИ МОТОРСПОРТ 2020,RIEJU MR 300 Pro,3,,,,,,3,
30,727,Ивайло ПЕТРОВ,Ивайло,ПЕТРОВ,ivaylo.petrov.727,МСК ХАРД РАЙДЪРС,KTM 300 EXC,3,,3,0,0,0,,
31,905,Цветелин КОСТАДИНОВ,Цветелин,КОСТАДИНОВ,tsvetelin.kostadinov.905,НК ЕНДУРО ВИКТОРИ,Ktm exc 350,2,,2,0,0,0,,0
32,115,Ивайло ЙОРДАНОВ,Ивайло,ЙОРДАНОВ,ivaylo.yordanov.115,МСК ХАРД РАЙДЪРС,GasGas 300,1,,1,0,0,,,
33,227,Венелин ВИДЕНОВ,Венелин,ВИДЕНОВ,venelin.videnov.227,МСК ХАРД РАЙДЪРС,Husqvarna TE 300,0,,,0,,,,0
34,233,Мариян ТИНЧЕВ,Мариян,ТИНЧЕВ,mariyan.tinchev.233,МСК ХАРД ЕНДУРО ПЛЕВЕН,,0,,,0,,,,
35,179,Владимир ВЪЛЧЕВ,Владимир,ВЪЛЧЕВ,vladimir.valchev.179,СК КЪРТАЧИТЕ,KTM 300 EXC,0,,,,0,0,0,0
36,153,Станислав СТОЯНОВ,Станислав,СТОЯНОВ,stanislav.stoyanov.153,ЕК ЛУДА РАБОТА,KTM 300 EXC,0,,,0,0,,,0
37,208,Костадин ТОШЕВ,Костадин,ТОШЕВ,kostadin.toshev.208,ЕК ГОЦЕ ДЕЛЧЕВ,HUSQVARNA,0,,,0,,,,
38,165,Лъчезар БЛИЗНАКОВ,Лъчезар,БЛИЗНАКОВ,lachezar.bliznakov.165,ЕНДУРО КЛУБ КОРНИЦА,KTM 450 EXC,0,,,,,,0,
39,33,Георги СИНЕВ,Георги,СИНЕВ,georgi.sinev.33,ЕНДУРО КЛУБ СЕВТОПОЛИС,Sherco 300,0,,0,,,,,
40,25,Бижо БИЖЕВ,Бижо,БИЖЕВ,bizho.bizhev.25,МСК ХАРД РАЙДЪРС,GAS GAS EC300,0,,,0,,,,
41,239,Смилен КАБАКЧИЕВ,Смилен,КАБАКЧИЕВ,smilen.kabakchiev.239,СК ЕКСТРИЙМ РЕЙСИНГ,KTM 300,0,,,,,,,0
42,174,Павел МИХАЙЛОВ,Павел,МИХАЙЛОВ,pavel.mihaylov.174,НК ЕНДУРО ВИКТОРИ,Ktm 300,0,,,0,,0,,
